Route , Signal_start , Signal_end , Direction , netElements , switch , platform , crossing
R_01 , S02 , S78 , >> , ne1-ne1 ,  , Plat01 , 
R_02 , S06 , S43 , >> , ne7-ne7 ,  , Plat02 , 
R_03 , S08 , S77 , >> , ne14-ne77 , 69W04_N , Plat08 , 
R_04 , S12 , S29 , >> , ne47-ne48 , 71W02_R ,  , 
R_05 , S14 , S100 , >> , ne84-ne32 , Sw04_R ,  , 
R_06 , S14 , S105 , >> , ne84-ne44 , Sw41_R ,  , 
R_07 , S20 , S97 , >> , ne89-ne30 , Sw12_N ,  , 
R_08 , S22 , S97 , >> , ne90-ne30 , Sw12_R-Sw13_R ,  , 
R_09 , S24 , S70 , << , ne105-ne96 ,  , Plat11 , 
R_10 , S25 , S42 , << , ne4-ne106 ,  ,  , 
R_11 , S27 , S30 , << , ne26-ne65 ,  ,  , 
R_12 , S28 , S40 , << , ne44-ne101 ,  ,  , 
R_13 , S30 , S104 , << , ne65-ne102 ,  ,  , 
R_14 , S32 , S73 , >> , ne70-ne21 , Sw03_N ,  , 
R_15 , S33 , S34 , >> , ne78-ne93 ,  ,  , 
R_16 , S34 , S71 , >> , ne93-ne96 ,  , Plat11 , 
R_17 , S35 , S50 , >> , ne95-ne95 ,  ,  , 
R_18 , S37 , S135 , << , ne97-ne94 ,  ,  , 
R_19 , S38 , S23 , >> , ne98-ne105 ,  ,  , 
R_20 , S40 , S138 , << , ne101-ne100 ,  ,  , 
R_21 , S41 , S90 , << , ne103-ne64 ,  ,  , 
R_22 , S42 , S68 , << , ne106-ne99 ,  , Plat10 , 
R_23 , S43 , S46 , >> , ne7-ne9 , 68W02_R ,  , 
R_24 , S46 , S35 , >> , ne9-ne95 ,  ,  , 
R_25 , S50 , S83 , >> , ne95-ne59 ,  ,  , Lc01
R_26 , S51 , S80 , << , ne95-ne9 ,  ,  , Lc01
R_27 , S60 , S27 , << , ne23-ne26 , 70W02_N ,  , 
R_28 , S63 , S41 , >> , ne24-ne103 , 70W01_N ,  , 
R_29 , S64 , S32 , << , ne67-ne70 ,  ,  , 
R_30 , S65 , S41 , >> , ne67-ne103 ,  ,  , 
R_31 , S68 , S37 , << , ne99-ne97 ,  ,  , 
R_32 , S69 , S03 , >> , ne99-ne4 ,  ,  , 
R_33 , S70 , S110 , << , ne96-ne78 ,  ,  , 
R_34 , S71 , S38 , >> , ne96-ne98 ,  ,  , 
R_35 , S72 , S32 , << , ne21-ne70 ,  ,  , 
R_36 , S77 , S33 , >> , ne77-ne78 , Sw06_R ,  , 
R_37 , S77 , S69 , >> , ne77-ne99 ,  , Plat10 , 
R_38 , S78 , S46 , >> , ne1-ne9 , 68W02_N ,  , 
R_39 , S80 , S01 , << , ne9-ne1 , 68W02_N , Plat01 , 
R_40 , S80 , S05 , << , ne9-ne7 , 68W02_R , Plat02 , 
R_41 , S82 , S51 , << , ne17-ne95 , 69W03_N ,  , 
R_42 , S83 , S77 , >> , ne59-ne77 , 69W03_R-69W04_R , Plat08 , 
R_43 , S83 , S109 , >> , ne59-ne17 , 69W03_N , Plat09 , 
R_44 , S86 , S51 , << , ne52-ne95 , 69W03_R-69W04_R ,  , 
R_45 , S86 , S07 , << , ne52-ne14 , 69W04_N ,  , 
R_46 , S89 , S41 , >> , ne23-ne103 , 70W01_R , Plat05 , 
R_47 , S90 , S60 , << , ne64-ne23 , 70W01_R , Plat05 , 
R_48 , S90 , S27 , << , ne64-ne26 , 70W01_R-70W02_N , Plat05 , 
R_49 , S92 , S63 , >> , ne24-ne24 ,  ,  , 
R_50 , S93 , S89 , >> , ne26-ne23 , 70W02_N ,  , 
R_51 , S93 , S92 , >> , ne26-ne24 , 70W02_R , Plat06 , 
R_52 , S95 , S121 , << , ne83-ne30 , Sw08_N ,  , 
R_53 , S96 , S121 , << , ne29-ne30 , Sw08_R ,  , 
R_54 , S97 , S137 , >> , ne30-ne110 , Sw08_R-Sw09_R ,  , 
R_55 , S97 , S113 , >> , ne30-ne83 , Sw08_N , Plat03 , 
R_56 , S100 , S137 , >> , ne32-ne110 , Sw09_N ,  , 
R_57 , S101 , S96 , << , ne29-ne29 ,  ,  , 
R_58 , S102 , S114 , << , ne110-ne32 , Sw09_N ,  , 
R_59 , S102 , S101 , << , ne110-ne29 , Sw09_R ,  , 
R_60 , S104 , S28 , << , ne102-ne44 , 71W01_N ,  , 
R_61 , S105 , S29 , >> , ne44-ne48 , 71W01_R-71W02_N ,  , 
R_62 , S105 , S93 , >> , ne44-ne26 , 71W01_N ,  , 
R_63 , S109 , S33 , >> , ne17-ne78 , Sw06_N ,  , 
R_64 , S110 , S82 , << , ne78-ne17 , Sw06_N , Plat09 , 
R_65 , S110 , S132 , << , ne78-ne77 , Sw06_R , Plat08 , 
R_66 , S110 , S72 , << , ne78-ne21 , Sw06_R , Plat12 , 
R_67 , S113 , S100 , >> , ne83-ne32 , Sw04_N ,  , 
R_68 , S114 , S95 , << , ne32-ne83 , Sw04_N , Plat03 , 
R_69 , S114 , S58 , << , ne32-ne41 , Sw04_R , Plat04 , 
R_70 , S114 , S13 , << , ne32-ne84 , Sw04_R ,  , 
R_71 , S117 , S15 , << , ne88-ne86 , Sw11_N ,  , 
R_72 , S118 , S17 , >> , ne86-ne88 , Sw11_N ,  , 
R_73 , S118 , S97 , >> , ne86-ne30 , Sw11_R-Sw12_R-Sw13_N ,  , 
R_74 , S121 , S19 , << , ne30-ne89 , Sw12_N ,  , 
R_75 , S121 , S15 , << , ne30-ne86 , Sw11_R-Sw12_R-Sw13_N ,  , 
R_76 , S121 , S21 , << , ne30-ne90 , Sw12_R-Sw13_R ,  , 
R_77 , S129 , S100 , >> , ne41-ne32 , Sw04_R , Plat04 , 
R_78 , S129 , S105 , >> , ne41-ne44 , Sw41_R , Plat04 , 
R_79 , S130 , S58 , << , ne85-ne41 ,  , Plat04 , 
R_80 , S130 , S13 , << , ne85-ne84 ,  ,  , 
R_81 , S132 , S86 , << , ne77-ne52 ,  ,  , 
R_82 , S134 , S33 , >> , ne21-ne78 , Sw06_R , Plat12 , 
R_83 , S134 , S69 , >> , ne21-ne99 ,  , Plat10 , 
R_84 , S135 , S132 , << , ne94-ne77 ,  , Plat08 , 
R_85 , S135 , S72 , << , ne94-ne21 ,  , Plat12 , 
R_86 , S137 , S105 , >> , ne110-ne44 , Sw41_N ,  , 
R_87 , S138 , S102 , << , ne100-ne110 , Sw41_N ,  , 
R_88 , S138 , S130 , << , ne100-ne85 , Sw41_R ,  , 
